,SIM1,SIM2,SIM3
2005-01-04,-0.00668155522906476,-0.014801544454357529,0.008271056405447922
2005-01-05,0.0049626642217361905,0.008747400594543934,-0.0062712172460947626
2005-01-06,0.016313480747498763,-0.010232695545184368,-0.033748489456783576
2005-01-07,0.011323385262500143,-0.02245098247094288,-0.005128484555413718
2005-01-10,-0.009235569539043965,-0.006201906484719247,0.005840763315020982
2005-01-11,-0.015403570825583298,-0.0003510702940302415,0.02398043868529953
2005-01-12,-0.007050776975404403,0.008273880526672772,0.015539200983923276
2005-01-13,0.000947829653071544,-0.019019617322726477,-0.02038030495180017
2005-01-14,-0.02918679245347281,-0.0028408710758469086,0.011642086533186088
2005-01-17,-0.0013553561342120638,0.012861264435628038,0.01205689963211405
2005-01-18,-0.01550358272693587,0.013874315704001189,-0.02240077080881524
2005-01-19,-0.008418216375076646,0.022948542351414688,-0.004037503450206349
2005-01-20,-0.0063625941201337875,0.010466308013747105,-0.008726898807338948
2005-01-21,-0.003583566242411894,0.0021100347112792983,-0.007569098824333911
2005-01-24,0.005456570390975983,0.043548323217052584,0.013157868348812857
2005-01-25,0.013000651869233965,-0.0013987489113276464,0.01985736905918139
2005-01-26,-0.002069434728724571,0.033476068682702476,-0.014500882326871113
2005-01-27,0.017408054255852692,-0.010953825450144295,-0.01026726726345813
2005-01-28,-0.009017320502408662,0.023608302118461003,-0.01998134419540081
2005-01-31,0.00493816341322886,-0.02985573781452886,-0.030297030786613284
2005-02-01,0.01127333649168364,0.015458759067797772,0.01000699106145952
2005-02-02,0.0008073742202865833,-0.013460044766233708,-0.001296717701024031
2005-02-03,-0.009274885443019678,-0.006439581119280856,-0.03985661496960804
2005-02-04,-0.011075959029668127,-0.005337600845550098,0.009389870159182528
2005-02-07,-0.00515690285835994,-0.012425589096565675,-0.02482564505312733
2005-02-08,0.0031160897206490346,-0.056280098467937155,0.019232864171087292
2005-02-09,-0.012725604256360048,0.04027309846968311,-0.019347099906610543
2005-02-10,-0.0019562129161415994,-0.008234625244796314,0.006753811455240476
2005-02-11,-0.001799796997303887,-0.02821154119924059,-0.00604683872555251
2005-02-14,0.007004693967289323,0.02480062981385349,-0.019624355925771036
2005-02-15,0.002513077221820282,0.03367988199646273,-0.006293962734304094
2005-02-16,0.004481126300007157,-0.001702613921267474,0.008671591993461967
2005-02-17,-0.008307365838618382,-0.0043431163495454336,-0.005164331429796195
2005-02-18,-0.0011485738588844967,-0.02509766369033178,-0.021735735393448904
2005-02-21,0.01003625894688294,0.008157359213129104,0.002791636101292765
2005-02-22,0.01847523416783759,-0.02071922159861124,-0.002137136563732146
2005-02-23,-0.016538801393579636,0.03917293273758566,-0.013766567284079602
2005-02-24,0.019898584006327154,-0.0036844007123447405,0.008078627852086167
2005-02-25,0.01618554053101202,0.010801822165674884,-0.010712280475686987
2005-02-28,0.009242558216328783,-0.018017080861369522,-0.012666270216627057
2005-03-01,0.0030416954650575546,-0.011984031814634487,0.009314992511761329
2005-03-02,-0.00396605957524789,0.007830959487037558,0.019027222669961947
2005-03-03,0.018643602124967466,-0.022141667387614892,0.02407906413959889
2005-03-04,0.023973429419186322,0.017336374783354907,0.008797274236258113
2005-03-07,0.021743201280301477,-0.01662854384458967,-0.005356817471138692
2005-03-08,0.01571734312432222,0.006303100026926249,-0.003946478988538639
2005-03-09,0.003927336484366701,-0.01884020761553978,0.013514540351607858
2005-03-10,-0.015262098837212135,0.018521148180454392,-0.01742957156092479
2005-03-11,0.0007317231038257571,-0.029735639890418403,0.013559981176456458
2005-03-14,0.008349031022035602,-0.0013261504869462263,-0.002945539759849855
2005-03-15,-0.016463456726640464,-0.00242908340179338,0.013230162463671265
2005-03-16,0.0058136228823001375,-0.038933623184348655,0.015057928330136845
2005-03-17,0.00527395568164494,-0.015996225591692198,-0.00011156629109620717
2005-03-18,0.008647851079018639,0.0025580660897902147,0.01456021591150145
2005-03-21,-0.015164513518698231,-0.02244083966738234,-0.0010909135244930276
2005-03-22,-0.007544931151159082,-0.005749880518763502,-0.007631913965326378
2005-03-23,-0.005043781267147506,-0.05551038874044409,0.03408595093233652
2005-03-24,-0.014383893790736154,0.0015447074098347488,0.03557916343004305
2005-03-25,0.022641606568925186,-0.019568676336490353,-0.01264831423409876
2005-03-28,-0.007116161488710306,-0.02399916826772153,-0.003020357244523116
2005-03-29,0.004571087621229615,-0.01623965726135163,0.02979090489286294
2005-03-30,-0.0033364703002974837,-0.008257990774268361,0.008505925083099428
2005-03-31,0.020194980400432837,-0.011449832497845534,-0.006110522553839763
2005-04-01,0.01585140812589718,0.0062832663784319915,-0.016967183891097134
2005-04-04,0.007394946714526957,0.017930481717840615,0.005722596316132934
2005-04-05,-0.027940016703894257,0.008765408382814097,0.009492893129191776
2005-04-06,0.001998617673223103,-0.005107521389589903,0.010203303886086843
2005-04-07,0.008635963708712717,0.024749614738439615,-0.002802135804088918
2005-04-08,0.012375995547785016,-0.019722350256458254,0.0033214490186851053
2005-04-11,-0.00820146495597378,-0.008742737438751586,-0.002755801403580494
2005-04-12,0.02341066434857442,-0.06100924947659788,-0.014586355224096789
2005-04-13,-0.01752760796804861,-0.00014394839453758617,-0.0026763896020441007
2005-04-14,-0.007439103120304744,-0.010672585576244804,-0.0007769226388205588
2005-04-15,0.01221360404359474,0.023067827944359506,0.010057720441949329
2005-04-18,0.00020028552371800665,-0.010056308292519066,-0.021031033608252748
2005-04-19,0.025312559748911754,-0.012524532367692168,-0.03029169533486716
2005-04-20,0.0013811976605352073,0.04676499480289925,-0.008132286791848613
